;NATION_x;PERSONID;NATIONID;NATION_y
0;0;10955;0;пусто
1;1;3;1;калмык
2;2;2;2;калмычка
3;3;90;3;татарин
4;4;2643;4;русский
5;5;3;5;казах
6;7;18;7;татарка
7;8;668;8;русская
8;9;340;9;немец
9;11;886;11;украинец
10;13;89;13;немка
11;14;9;14;армянин
12;15;6488;15;полька
13;16;5;16;венгр
14;17;10685;17;еврей
15;18;1;18;башкир
16;21;6;21;чуваш
17;23;3;23;болгарин
18;28;5;28;грек
19;30;158;30;украинка
20;32;3074;32;еврейка
21;33;1211;33;латыш
22;34;133;34;латышка
23;35;43;35;цыганка
24;36;22918;36;поляк
25;37;66;37;эстонец
26;38;5;38;мордвин
27;42;6258;42;белоруска
28;43;62;43;цыган
29;45;2;45;турок
30;48;62810;48;белорус
31;55;4;55;кореец
32;56;1;56;грузинка
33;58;1;58;карачаевец
34;60;11;60;осетинка
35;61;16;61;осетин
36;62;3;62;грузин
37;79;5;79;финн
38;80;14;80;белорус
39;81;75;81;литовка
40;82;3;82;белоруска
41;84;462;84;литовец
42;87;1;87;удмурт
43;92;5;92;ассириец
44;97;3;97;русские
45;98;81;98;украинцы
46;101;2631;101;белорусы
47;102;12104;102;поляки
48;109;4;109;молдаванин
49;112;3;112;француз
50;114;17;114;чех
51;115;1;115;узбек
52;117;2;117;удмуртка
53;118;11;118;эстонка
54;122;1;122;карел
55;130;16;130;китаец
56;131;10;131;румын
57;132;6;132;румынка
58;133;6;133;чешка
59;138;1;138;зырянин
60;151;6;151;австриец
61;152;1;152;итальянец
62;183;3;183;черкес
63;186;10;186;полька
64;193;1;193;голландец
65;204;3;204;серб
66;212;1;212;мадьяр
67;217;2;217;хорват
68;221;1;221;словак
69;242;1;242;мари
70;263;1;263;латыш (литовец)
71;271;1;271;австрийка
72;280;45;280;белорус (поляк)
73;283;29;283;русский (белорус)
74;284;15;284;белорус (русский)
75;286;2;286;латгалец
76;292;209;292;белорус
77;299;1;299;русский (поляк)
78;301;55;301;поляк (белорус)
79;306;1;306;латыш (белорус)
80;416;3;416;белорус (русский)
81;418;2;418;белоруска (латышка)
82;422;2;422;поляк (белорус)
83;431;2;431;русский (белорус)
84;438;4;438;черкешенка
85;449;1;449;поляк
86;450;1;450;австриец (белорус)
87;451;1;451;русский (кабардинец)
88;452;1;452;афганец
89;453;1;453;белорус (еврей)
90;454;6;454;белоруска (полька)
91;455;1;455;бельгиец
92;456;3;456;полька (белоруска)
93;457;1;457;литвин
94;458;1;458;полька (литовка)
95;459;1;459;русская (полька)
96;473;1;473;белорус (поляк?)
97;503;5;503;белорус (поляк)
98;561;1;561;уйгуры
99;566;1;566;узбеки
100;569;5809;569;евреи
101;579;1;579;латыши
102;580;1076;580;белорусы
103;594;1;594;цыгане
104;661;1;661;полька (украинка)
105;662;1;662;бессараб
106;670;1;670;поляк
107;673;1;673;поляк (белорус)
108;674;1;674;поляк (белорус)
109;676;3;676;поляк (белорус)
110;724;2;724;белорус (украинец)
111;725;3;725;украинец (белорус)
112;727;2;727;украинка (белоруска)
113;732;3;732;русская (белоруска)
114;796;1;796;еврей (белорус)
115;806;1;806;поляк (белорус?)
116;811;1;811;поляк (белорус, латыш)
117;817;1;817;еврей (белорус, русский)
118;826;1;826;белорус (русский, поляк)
119;827;1;827;белоруска (русская)
120;828;1;828;поляк (русский, белорус)
