;NATIONID;NATION;PERSONID
875;875;китайцы;1
103;103;финны;1
439;439;турок-месхетинец;1
449;449;пол€к;1
450;450;австриец (белорус);1
451;451;русский (кабардинец);1
89;89;вот€к;1
105;105;грузины;1
299;299;русский (пол€к);1
82;82;белоруска;1
455;455;бельгиец;1
77;77;крымска€ татарка;1
72;72;иранец;1
456;456;полька (белоруска);1
58;58;карачаевец;1
453;453;белорус (еврей);1
56;56;грузинка;1
106;106;греки;1
404;404;пол€к (русский);1
284;284;белорус (русский);1
342;342;румын;1
274;274;шорец;1
273;273;польский еврей;1
271;271;австрийка;1
263;263;латыш (литовец);1
428;428;ингерманландец;1
246;246;€понец;1
221;221;словак;1
212;212;мадь€р;1
206;206;азербайджанка;1
193;193;голландец;1
152;152;италь€нец;1
138;138;зыр€нин;1
397;397;вепс;1
457;457;литвин;1
86;86;€кутка;1
594;594;цыгане;1
662;662;бессараб;1
661;661;полька (украинка);1
673;673;пол€к (белорус);1
6;6;казашка;1
726;726;молдаванин (русский);1
458;458;полька (литовка);1
732;732;русска€ (белоруска);1
739;739;нанаец;1
590;590;болгары;1
579;579;латыши;1
565;565;ассирийцы;1
670;670;пол€к;1
540;540;коми-перм€чка;1
561;561;уйгуры;1
459;459;русска€ (полька);1
117;117;удмуртка;2
597;597;венгры;2
218;218;казак;2
242;242;мари;2
778;778;кубанский казак;2
2;2;калмычка;2
87;87;удмурт;2
566;566;узбеки;2
85;85;€кут;2
45;45;турок;2
563;563;азербайджанцы;2
204;204;серб;3
215;215;коми;3
286;286;латгалец;3
183;183;черкес;3
602;602;молдаване;3
676;676;пол€к (белорус);3
62;62;грузин;3
217;217;хорват;3
39;39;мордовка;3
112;112;француз;3
109;109;молдаванин;3
283;283;русский (белорус);3
108;108;чехи;3
18;18;башкир;3
22;22;чувашка;3
80;80;белорус;4
16;16;венгр;4
438;438;черкешенка;4
107;107;татары;5
454;454;белоруска (полька);6
92;92;ассириец;6
28;28;грек;6
1;1;калмык;6
467;467;коми-перм€к;6
133;133;чешка;6
132;132;румынка;6
23;23;болгарин;6
83;83;финка;6
145;145;эвенк;7
55;55;кореец;9
143;143;корейцы;9
113;113;бур€т;9
186;186;полька;10
151;151;австриец;10
131;131;румын;10
26;26;мариец;10
76;76;крымский татарин;11
60;60;осетинка;11
14;14;арм€нин;11
114;114;чех;12
301;301;пол€к (белорус);13
580;580;белорусы;15
122;122;карел;15
99;99;чеченцы;15
50;50;немцы;15
118;118;эстонка;16
61;61;осетин;16
280;280;белорус (пол€к);21
466;466;алтайка;28
7;7;татарка;29
35;35;цыганка;43
130;130;китаец;44
234;234;саха;49
38;38;мордвин;56
43;43;цыган;61
81;81;литовка;75
21;21;чуваш;79
79;79;финн;82
37;37;эстонец;95
97;97;русские;106
13;13;немка;112
98;98;украинцы;121
34;34;латышка;136
444;444;алтаец;137
30;30;украинка;161
5;5;казах;216
3;3;татарин;278
84;84;литовец;448
9;9;немец;493
8;8;русска€;925
11;11;украинец;1035
33;33;латыш;1315
101;101;белорусы;2513
32;32;еврейка;3095
42;42;белоруска;5207
569;569;евреи;5812
4;4;русский;5893
15;15;полька;5999
17;17;еврей;10326
102;102;пол€ки;12130
36;36;пол€к;20002
0;0;пусто;21196
48;48;белорус;46679
