;NATION_x;PERSONID;NATIONID;NATION_y
0;0;1529;0;пусто
1;1;1;1;калмык
2;3;83;3;татарин
3;4;2296;4;русский
4;7;8;7;татарка
5;8;447;8;русская
6;9;302;9;немец
7;11;790;11;украинец
8;13;70;13;немка
9;14;9;14;армянин
10;15;2600;15;полька
11;16;5;16;венгр
12;17;4362;17;еврей
13;21;4;21;чуваш
14;23;3;23;болгарин
15;28;5;28;грек
16;30;124;30;украинка
17;32;3;32;еврейка
18;33;1196;33;латыш
19;34;125;34;латышка
20;36;17018;36;поляк
21;37;61;37;эстонец
22;38;4;38;мордвин
23;42;4256;42;белоруска
24;43;4;43;цыган
25;45;1;45;турок
26;48;45540;48;белорус
27;55;4;55;кореец
28;56;1;56;грузинка
29;58;1;58;карачаевец
30;61;3;61;осетин
31;62;3;62;грузин
32;79;4;79;финн
33;81;54;81;литовка
34;84;425;84;литовец
35;92;5;92;ассириец
36;109;4;109;молдаванин
37;112;1;112;француз
38;114;15;114;чех
39;115;1;115;узбек
40;118;9;118;эстонка
41;122;1;122;карел
42;130;16;130;китаец
43;131;2;131;румын
44;133;4;133;чешка
45;138;1;138;зырянин
46;151;6;151;австриец
47;152;1;152;итальянец
48;193;1;193;голландец
49;204;1;204;серб
50;212;1;212;мадьяр
51;217;2;217;хорват
52;221;1;221;словак
53;263;1;263;латыш (литовец)
54;271;1;271;австрийка
55;280;21;280;белорус (поляк)
56;283;2;283;русский (белорус)
57;284;1;284;белорус (русский)
58;286;1;286;латгалец
59;299;1;299;русский (поляк)
60;301;13;301;поляк (белорус)
61;449;1;449;поляк
62;450;1;450;австриец (белорус)
63;451;1;451;русский (кабардинец)
64;452;1;452;афганец
65;453;1;453;белорус (еврей)
66;454;6;454;белоруска (полька)
67;455;1;455;бельгиец
68;456;1;456;полька (белоруска)
69;457;1;457;литвин
70;458;1;458;полька (литовка)
71;459;1;459;русская (полька)
