;NATION_x;PERSONID;NATIONID;NATION_y
0;0;10823;0;пусто
1;1;3;1;калмык
2;2;2;2;калмычка
3;3;76;3;татарин
4;4;2322;4;русский
5;5;3;5;казах
6;7;17;7;татарка
7;8;607;8;русская
8;9;318;9;немец
9;11;802;11;украинец
10;13;83;13;немка
11;14;8;14;армянин
12;15;5826;15;полька
13;16;3;16;венгр
14;17;9338;17;еврей
15;18;1;18;башкир
16;21;6;21;чуваш
17;23;3;23;болгарин
18;28;5;28;грек
19;30;144;30;украинка
20;32;3074;32;еврейка
21;33;1190;33;латыш
22;34;132;34;латышка
23;35;43;35;цыганка
24;36;18824;36;поляк
25;37;65;37;эстонец
26;38;4;38;мордвин
27;42;5142;42;белоруска
28;43;61;43;цыган
29;45;2;45;турок
30;48;46253;48;белорус
31;55;3;55;кореец
32;56;1;56;грузинка
33;58;1;58;карачаевец
34;60;11;60;осетинка
35;61;16;61;осетин
36;62;3;62;грузин
37;79;5;79;финн
38;80;4;80;белорус
39;81;70;81;литовка
40;82;1;82;белоруска
41;84;417;84;литовец
42;87;1;87;удмурт
43;92;5;92;ассириец
44;97;3;97;русские
45;98;81;98;украинцы
46;101;2512;101;белорусы
47;102;12104;102;поляки
48;109;3;109;молдаванин
49;112;3;112;француз
50;114;12;114;чех
51;117;2;117;удмуртка
52;118;10;118;эстонка
53;122;1;122;карел
54;130;16;130;китаец
55;131;10;131;румын
56;132;6;132;румынка
57;133;5;133;чешка
58;138;1;138;зырянин
59;151;6;151;австриец
60;152;1;152;итальянец
61;183;3;183;черкес
62;186;10;186;полька
63;204;3;204;серб
64;212;1;212;мадьяр
65;217;2;217;хорват
66;221;1;221;словак
67;242;1;242;мари
68;263;1;263;латыш (литовец)
69;271;1;271;австрийка
70;280;20;280;белорус (поляк)
71;283;3;283;русский (белорус)
72;284;1;284;белорус (русский)
73;286;2;286;латгалец
74;299;1;299;русский (поляк)
75;301;12;301;поляк (белорус)
76;438;4;438;черкешенка
77;449;1;449;поляк
78;450;1;450;австриец (белорус)
79;451;1;451;русский (кабардинец)
80;453;1;453;белорус (еврей)
81;454;6;454;белоруска (полька)
82;455;1;455;бельгиец
83;456;1;456;полька (белоруска)
84;457;1;457;литвин
85;458;1;458;полька (литовка)
86;459;1;459;русская (полька)
87;561;1;561;уйгуры
88;566;1;566;узбеки
89;569;5809;569;евреи
90;579;1;579;латыши
91;580;11;580;белорусы
92;594;1;594;цыгане
93;661;1;661;полька (украинка)
94;662;1;662;бессараб
95;670;1;670;поляк
96;676;3;676;поляк (белорус)
97;732;1;732;русская (белоруска)
