72;;;;;;;1;7065
68;;;;;;;1;2456
74;;;;;;;1;2296
72а ;;;;;;;1;1732
72;76;;;;;;2;1537
72 - Антисоветская агитация;;;;;;;1;1061
68;;;;;;;1;1044
74;;;;;;;1;746
39;;;;;;;1;716
74;;;;;;;1;659
68 - Шпионаж;;;;;;;1;658
72; 76 - Антисоветская агитация;;;;;;2;641
58-10 ;;;;;;;1;598
72;76;;;;;;2;587
63-1 - Измена Родине;;;;;;;1;548
63-1 ;;;;;;;1;503
член семьи изменника Родины;;;;;;;1;482
68;;;;;;;1;454
68;;;;;;;1;432
72б ;;;;;;;1;419
72;;;;;;;1;418
120;;;;;;;1;414
76;;;;;;;1;363
72;;;;;;;1;343
72; 76 - ;;;;;;2;321
а/с агитация;;;;;;;1;313
68;71;;;;;;2;295
65;;;;;;;1;285
64;76;;;;;;2;271
72-а ;;;;;;;1;260
72;75;;;;;;2;255
74;;;;;;;1;239
39;;;;;;;1;237
64;76;;;;;;2;234
72;76;;;;;;2;220
74;;;;;;;1;220
72;76;;;;;;2;213
"72""а"" - Антисоветская агитация";;;;;;;1;211
72;;;;;;;1;197
72;;;;;;;1;190
72;74;;;;;;2;187
74;;;;;;;1;186
72а ;;;;;;;1;174
72;76;;;;;;2;173
авг.38;;;;;;;1;168
63-1 ;;;;;;;1;167
74;;;;;;;1;162
68;;;;;;;1;159
24-63-1 ;;;;;;;1;158
72; 76 - Антисоветская деятельность;;;;;;2;158
72;75;76;;;;;3;148
Член семьи изменника Родине;;;;;;;1;147
74;;;;;;;1;142
74;;;;;;;1;140
68;;;;;;;1;139
72 - Антисоветская пропаганда;;;;;;;1;139
а/с агитация;72;;;;;;2;138
72;76;;;;;;2;137
72 а ;;;;;;;1;134
68;72;;;;;;2;127
72; 76 - Контрреволюционная деятельность;;;;;;2;125
68а ;;;;;;;1;124
74;;;;;;;1;124
72;76;;;;;;2;120
63-1 ;;;;;;;1;119
72; 76 - Антисоветская агитация; участие в к/р организации;;;;;3;117
агент польской разведки;;;;;;;1;116
72 - ;;;;;;;1;115
авг.38;;;;;;;1;115
72 - Антисоветская агитация и пропаганда;;;;;;;1;114
73;;;;;;;1;114
68 - Шпионская деятельность;;;;;;;1;111
68;120;;;;;;2;111
68;71;;;;;;2;109
76;;;;;;;1;108
63-1 ;;;;;;;1;106
58-10ч2 ;;;;;;;1;105
74;;;;;;;1;101
64;72;76;;;;;3;99
120;;;;;;;1;98
74;;;;;;;1;96
58-1а ;;;;;;;1;95
июль.35;;;;;;;1;95
74;;;;;;;1;95
68;;;;;;;1;94
58-3 ;;;;;;;1;93
68;;;;;;;1;92
72; 76 - Антисоветская пропаганда;;;;;;2;92
64;72;76;;;;;3;91
65;;;;;;;1;90
72а;76;;;;;;2;90
72б ;;;;;;;1;90
72;76;;;;;;2;89
72; 76 - Антисоветская агитация и пропаганда;;;;;;2;88
63-1;76;;;;;;2;85
64;72;76;;;;;3;85
66;72;;;;;;2;85
64; 76 - ;;;;;;2;84
76 - Антисоветская агитация;;;;;;;1;83
64;76;;;;;;2;81
68;;;;;;;1;80
63-2 - Измена Родине;;;;;;;1;79
68 - Агент Польши;;;;;;;1;79
64;76;;;;;;2;78
72;76;;;;;;2;77
64;76;;;;;;2;73
шпионаж в пользу Польши;;;;;;;1;73
72;76;;;;;;2;72
авг.38;;;;;;;1;72
а/с деятельность;;;;;;;1;72
шпионаж;;;;;;;1;71
72;76;;;;;;2;70
58-6 ;;;;;;;1;69
72;76;;;;;;2;68
68;71;76;;;;;3;67
76;;;;;;;1;67
58-6 ;;;;;;;1;66
63-2 ;;;;;;;1;66
70;72;;;;;;2;66
68;72;;;;;;2;65
72;76;;;;;;2;65
72а ;;;;;;;1;65
74;;;;;;;1;65
58/10 ;;;;;;;1;64
64;68;71;72; 76 - член ПОВ;;;5;64
76 - ;;;;;;;1;64
72;118;;;;;;2;63
63-1;76;;;;;;2;62
64;68;71;72; 76 - член к/р орг-ции;;;5;62
64;76;;;;;;2;62
68 - Шпионская деятельность в пользу Польши;;;;;;;1;62
68;76;;;;;;2;61
72;80;;;;;;2;58
68;;;;;;;1;57
17-58-2;4;;;;;;2;56
58-10 - Контрреволюционная пропаганда и агитация;;;;;;;1;56
